right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
143,43,181,72,181,72,220,101,51,44,23,78,23,78,44,112,127,118,138,173,138,173,146,223,65,120,50,175,50,175,43,225
195,47,223,80,223,80,228,112,93,44,30,70,30,70,18,104,184,120,193,174,193,174,201,225,117,119,99,174,99,174,82,227
219,45,208,73,208,73,157,59,138,39,63,61,63,61,25,85,215,119,222,175,222,175,226,222,158,116,144,174,144,174,118,228
220,46,213,65,213,65,169,55,154,41,86,56,86,56,32,72,225,118,227,176,227,176,229,225,178,115,155,173,155,173,132,229
217,45,208,69,208,69,167,56,153,38,87,51,87,51,34,63,220,119,227,175,227,175,226,225,176,116,162,173,162,173,131,229
217,45,208,68,208,68,167,56,153,38,86,51,86,51,34,63,220,119,227,175,227,175,226,226,176,116,162,173,162,173,131,229
215,46,211,67,211,67,167,52,152,40,83,59,83,59,32,75,223,119,226,176,226,176,229,226,178,116,157,173,157,173,130,227
218,49,223,80,223,80,183,62,140,40,75,67,75,67,35,96,214,121,220,177,220,177,230,226,159,117,143,174,143,174,117,231
123,43,63,75,63,75,27,107,181,45,220,78,220,78,218,104,144,118,165,173,165,173,185,228,168,118,137,174,137,174,104,229
169,41,218,69,218,69,231,101,59,45,36,80,36,80,44,115,147,117,162,172,162,172,173,224,72,119,56,174,56,174,50,226
138,38,193,60,193,60,228,88,52,44,46,79,46,79,66,110,113,114,126,172,126,172,142,224,54,116,37,173,37,173,30,223
119,36,176,51,176,51,225,68,48,42,61,73,61,73,99,99,93,112,102,170,102,170,117,226,42,114,32,171,32,171,30,224
106,34,168,38,168,38,219,45,43,43,64,73,64,73,113,90,81,108,89,169,89,169,104,227,37,111,28,171,28,171,28,225
118,41,172,49,172,49,214,51,50,45,85,67,85,67,146,77,92,116,109,175,109,175,126,227,43,118,37,175,37,175,35,227
102,36,162,38,162,38,217,41,40,44,62,71,62,71,118,79,78,111,94,171,94,171,110,226,35,114,30,172,30,172,27,223
106,37,162,51,162,51,217,63,41,43,51,73,51,73,102,87,83,112,96,171,96,171,110,227,37,115,29,172,29,172,24,223
